,0
deaths,1.0
v37d,0.47052468452514806
v37i,0.4035844797692855
v37g,0.34553251739315566
v37e,0.3063436285532423
h10c,0.3048124541013086
v38a,0.27670728018611335
e0,0.27583229805546333
o0,0.2446998668525721
ch4,0.2420095531047547
pres,0.23978977262041315
y25c,0.2394150602761904
v6,0.23072351537753447
v4,0.2252537644197668
y26_1a,0.22364764429473197
y27a,0.21641584260701624
h10d,0.2124087131023025
r0,0.20652495506507537
y26_1d,0.19557262922439123
y27b,0.17846090002306594
h10b,0.16967943281258543
pco2,0.1695652840976743
v39e,0.16609401829007284
comuna,0.16084152125972562
s0,0.15764520482155475
v37b,0.14815158924819338
y22d,0.13222473781400346
y27g,0.1319398428022672
iai,0.13124634292084073
y26_1e,0.12692820714301786
y0,0.1266087080226838
h10a,0.12311343876070525
numper,0.11976532164745289
y22e,0.1175837055792662
y23c,0.11411476490079771
y20c,0.10953912945860689
tot_par,0.10948914029699884
tot_per,0.10885096151870959
y26_1b,0.09875990397001694
y23b,0.09633701550769032
y20a,0.09406754285989753
ch1,0.09282094938178692
y22c,0.07846196694090503
y27d,0.07622274949427923
o1,0.07403293852692404
v2,0.06259109576557295
y27e,0.05431800220204556
y22b,0.054150084443491654
v37h,0.049413609516237945
v12,0.04489000803561944
y26_1g,0.04109629411393262
sexo,0.03063564072241009
y22a,0.024692787466228078
r19,0.01142982578838105
v27a,0.008583827428640847
pco1,0.004278718970219989
nucleo,0.0035767128329224486
pobreza,0.00054868799440161
activ,-0.00010066488812193125
y26_1f,-0.003517654001870162
s27a,-0.00454123345968638
y26_1c,-0.0053510342519170005
v8,-0.005616350877429607
v37c,-0.01792033505997293
v0a_1,-0.022854824492318217
y20b,-0.03133119589086606
v0b,-0.03579035366050191
y26_1j,-0.04806957935788992
s4,-0.05930968511569991
r6,-0.060378778268799026
y26_1i,-0.0624839531307718
esc,-0.06333613945667287
v37a,-0.06378888908068917
y20d,-0.07107274858265712
y20e,-0.08015908527986479
v38e,-0.08126512675851161
zona,-0.08345899223483483
y27f,-0.09526188618525601
qaut,-0.09580670641562777
dau,-0.1000549435991886
s12,-0.1012791788377608
qautr,-0.11146633931084639
e6a,-0.11378057941316902
v38c,-0.11766436074261988
e2,-0.1180545357696921
dautr,-0.12077483392203807
v40,-0.12087636975594966
y19t,-0.12113409448098135
v37f,-0.12192622754627604
s33j1,-0.12219280903657655
yaimcorh,-0.1251033675325049
h10e,-0.12699735112221727
yaimh,-0.12745109386018313
r1b,-0.13312970515377387
o30,-0.13864421934260443
educ,-0.13933832513434816
tot_nuc,-0.1496682867199511
v33,-0.1496682867199511
v38d,-0.15366952880773121
v39c,-0.16282820982326665
edad,-0.16857563756254576
e1,-0.17127230748551253
ysubh,-0.17424055582214523
o28,-0.17922342477481842
v38b,-0.18608621450724896
v7,-0.1908413055653615
v19,-0.19652656713484987
v39g,-0.20082752513040025
ytotcorh,-0.20375852163430028
ytoth,-0.2067763505458926
y0101h,-0.20819549332826628
yautcorh,-0.20946178189460804
yauth,-0.2129037696558053
ymonecorh,-0.21363518819659164
ytrabajocorh,-0.219155705285608
ypc,-0.23789779840638667
ypchautcor,-0.24191861074477566
s13,-0.24227046415502998
ypch,-0.24324593325602142
ecivil,-0.24340639407644862
h10f,-0.2477817018761064
v39f,-0.2493762629139955
ypchtrabajo,-0.2512740470507861
v39a,-0.2575244193629816
v1,-0.25892770049711467
s15,-0.2723536959720292
r3,-0.27303475850345676
v39b,-0.2731400668191699
v39d,-0.28354226016561856
y26_1h,-0.2985225920561823
y27c,-0.29974872652207896
v36a,-0.31155504624064945
pareja,-0.3126407234840337
iae,-0.3127342062201168
s33d1,-0.3203879111100669
r2,-0.32750961685431135
v23,-0.3373741663105659
s33g1,-0.3446047963277544
e6b,-0.345602557063003
r1a,-0.3474155727050474
v36c,-0.35055194000275847
v28,-0.35965903414391914
tot_hog,-0.35965903414391914
indmat,-0.36010616258432754
v5,-0.3633657607049496
s33h1,-0.36929330348431416
s33a1,-0.36998487174117073
y25d,-0.3709214606337101
v27b,-0.380036591202679
s31a1,-0.38384634599287015
calglobviv,-0.3847325380135936
s33i1,-0.3896329220983044
v3,-0.39843094282276004
hacinamiento,-0.4002770657836262
v24,-0.4130552928497617
v20,-0.42241319864952453
s33b1,-0.4305353063822825
v36b,-0.4317006968402093
s33e1,-0.4544358631080264
r22,-0.45542926564028885
s33f1,-0.45596164081703916
s28,-0.457950457580083
v25,-0.48638395158564274
asiste,-0.48801619554303616
e3,-0.48938337004241816
s33c1,-0.5298129104258675
v13,-0.5871339899443242
v9,-0.6191153409131683
v22,-0.6756932766512953
indsan,-0.739494598096084
